rank;state;Pop;Growth;Pop2018;Pop2010;growthSince2010;Percent;density;State_Abb;Astronauts;Ast_mill
24;Alabama;4908620;0.0042;4887870;4785450;0.0257;0.0147;969.221;AL;6;1,22
33;Arkansas;3039000;0.0084;3013820;2921980;0.0400;0.0091;584.030;AR;2;0,66
14;Arizona;7378490;0.0288;7171650;6407770;0.1515;0.0221;649.549;AZ;2;0,27
1;California;39937500;0.0096;39557000;37320900;0.0701;0.1194;2.563.728;CA;25;0,63
21;Colorado;5845530;0.0263;5695560;5048280;0.1579;0.0175;564.012;CO;8;1,37
29;Connecticut;3563080;-0.0027;3572660;3579120;-0.0045;0.0107;7.358.695;CT;6;1,68
50;District of Columbia;720687;0.0260;702455;605085;0.1911;0.0022;118.145.410;DC;4;5,55
46;Delaware;982895;0.0163;967171;899595;0.0926;0.0029;5.043.073;DE;1;1,02
3;Florida;21993000;0.0326;21299300;18845800;0.1670;0.0658;4.101.259;FL;7;0,32
8;Georgia;10736100;0.0206;10519500;9711810;0.1055;0.0321;1.866.726;GA;5;0,47
41;Hawaii;1412690;-0.0055;1420490;1363960;0.0357;0.0042;2.199.424;HI;2;1,42
31;Iowa;3179850;0.0075;3156140;3050770;0.0423;0.0095;569.284;IA;7;2,20
39;Idaho;1826160;0.0410;1754210;1570770;0.1626;0.0055;220.970;ID;1;0,55
6;Illinois;12659700;-0.0064;12741100;12840800;-0.0141;0.0379;2.280.246;IL;14;1,11
17;Indiana;6745350;0.0080;6691880;6490440;0.0393;0.0202;1.882.809;IN;11;1,63
36;Kansas;2910360;-0.0004;2911500;2858210;0.0182;0.0087;355.968;KS;3;1,03
26;Kentucky;4499690;0.0070;4468400;4348200;0.0348;0.0135;1.139.566;KY;2;0,44
25;Louisiana;4645180;-0.0032;4659980;4544530;0.0221;0.0139;1.075.174;LA;2;0,43
15;Massachusetts;6976600;0.0108;6902150;6566430;0.0625;0.0209;8.944.359;MA;13;1,86
19;Maryland;6083120;0.0067;6042720;5788640;0.0509;0.0182;6.266.735;MD;7;1,15
43;Maine;1345790;0.0055;1338400;1327630;0.0137;0.0040;436.336;ME;1;0,74
10;Michigan;10045000;0.0049;9995920;9877540;0.0170;0.0300;1.776.650;MI;11;1,10
22;Minnesota;5700670;0.0159;5611180;5310840;0.0734;0.0170;715.922;MN;5;0,88
18;Missouri;6169270;0.0070;6126450;5995980;0.0289;0.0185;897.453;MO;6;0,97
35;Mississippi;2989260;0.0009;2986530;2970540;0.0063;0.0089;637.056;MS;3;1,00
9;North Carolina;10611900;0.0220;10383600;9574290;0.1084;0.0317;2.182.710;NC;9;0,85
48;North Dakota;761723;0.0022;760077;674710;0.1290;0.0023;110.393;ND;2;2,63
38;Nebraska;1952570;0.0121;1929270;1829540;0.0672;0.0058;254.161;NE;1;0,51
42;New Hampshire;1371250;0.0109;1356460;1316780;0.0414;0.0041;1.531.610;NH;2;1,46
11;New Jersey;8936570;0.0031;8908520;8799620;0.0156;0.0267;12.151.985;NJ;10;1,12
37;New Mexico;2096640;0.0006;2095430;2064590;0.0155;0.0063;172.850;NM;2;0,95
4;New York;19440500;-0.0052;19542200;19400100;0.0021;0.0581;4.125.218;NY;26;1,34
7;Ohio;11747700;0.0050;11689400;11539300;0.0181;0.0351;2.875.040;OH;20;1,70
28;Oklahoma;3954820;0.0030;3943080;3759630;0.0519;0.0118;576.546;OK;5;1,26
27;Oregon;4301090;0.0263;4190710;3837530;0.1208;0.0129;448.086;OR;3;0,70
5;Pennsylvania;12820900;0.0011;12807100;12711200;0.0086;0.0383;2.865.454;PA;17;1,33
45;Rhode Island;1056160;-0.0011;1057320;1053940;0.0021;0.0032;10.214.313;RI;1;0,95
23;South Carolina;5210100;0.0248;5084130;4635660;0.1239;0.0156;1.733.176;SC;5;0,96
47;South Dakota;903027;0.0236;882235;816165;0.1064;0.0027;119.116;SD;2;2,21
16;Tennessee;6897580;0.0188;6770010;6355300;0.0853;0.0206;1.672.749;TN;6;0,87
2;Texas;29472300;0.0268;28701800;25242700;0.1676;0.0881;1.128.204;TX;22;0,75
30;Utah;3282120;0.0383;3161100;2775330;0.1826;0.0098;399.430;UT;1;0,30
12;Virginia;8626210;0.0127;8517680;8023680;0.0751;0.0258;2.184.404;VA;10;1,16
51;Vermont;628061;0.0028;626299;625880;0.0035;0.0019;681.416;VT;1;1,59
13;Washington;7797100;0.0347;7535590;6742900;0.1563;0.0233;1.173.273;WA;6;0,77
20;Wisconsin;5851750;0.0066;5813570;5690480;0.0283;0.0175;1.080.496;WI;6;1,03
40;West Virginia;1778070;-0.0154;1805830;1854210;-0.0411;0.0053;739.691;WV;1;0,56